R,G,B,Image
122,102,102,lph4
120,98,99,lph4
125,105,109,lph4
119,98,96,lph4
123,100,99,lph4
125,101,103,lph4
113,90,91,lph4
117,93,95,lph4
127,104,106,lph4
117,91,88,lph4
114,93,92,lph4
108,88,90,lph4
108,80,83,lph4
114,84,87,lph4
111,83,83,lph4
117,96,92,lph4
137,113,110,lph4
131,107,105,lph4
135,108,107,lph4
134,112,109,lph4
129,106,109,lph4
135,109,111,lph4
142,119,118,lph4
124,105,102,lph4
127,107,102,lph4
120,102,96,lph4
124,101,101,lph4
123,101,104,lph4
122,103,109,lph4
123,102,103,lph4
126,105,110,lph4
122,101,102,lph4
128,107,111,lph4
120,99,99,lph4
120,98,101,lph4
124,103,105,lph4
124,103,104,lph4
121,100,102,lph4
121,99,102,lph4
121,101,102,lph4
120,100,99,lph4
121,101,101,lph4
121,101,103,lph4
122,100,100,lph4
123,102,102,lph4
120,98,96,lph4
122,100,98,lph4
122,101,101,lph4
125,102,102,lph4
123,101,100,lph4
118,95,96,lph4
114,91,90,lph4
121,100,98,lph4
116,92,92,lph4
116,91,91,lph4
126,105,100,lph4
120,99,95,lph4
130,109,106,lph4
125,103,104,lph4
129,105,107,lph4
120,97,97,lph4
120,95,97,lph4
119,93,97,lph4
118,93,95,lph4
119,92,95,lph4
120,94,96,lph4
123,99,101,lph4
118,93,96,lph4
114,87,94,lph4
117,96,94,lph4
113,90,93,lph4
118,95,93,lph4
115,93,93,lph4
118,94,92,lph4
117,93,94,lph4
135,105,106,lph4
134,105,107,lph4
135,106,106,lph4
135,108,108,lph4
135,106,108,lph4
139,111,111,lph4
136,107,111,lph4
118,92,88,lph4
119,95,94,lph4
116,93,95,lph4
123,97,96,lph4
116,94,98,lph4
119,94,92,lph4
115,94,94,lph4
111,91,93,lph4
118,91,89,lph4
111,89,89,lph4
108,87,90,lph4
121,91,91,lph4
115,89,93,lph4
102,78,84,lph4
122,93,89,lph4
111,85,85,lph4
102,77,80,lph4
123,93,91,lph4
105,80,83,lph4
116,86,83,lph4
112,84,84,lph4
116,90,94,lph4
123,93,88,lph4
116,89,86,lph4
114,90,88,lph4
116,88,90,lph4
112,85,87,lph4
107,81,83,lph4
109,83,86,lph4
111,83,82,lph4
113,85,84,lph4
113,86,85,lph4
114,85,87,lph4
107,78,76,lph4
106,79,77,lph4
112,84,83,lph4
117,88,88,lph4
118,88,90,lph4
108,83,86,lph4
112,87,90,lph4
111,85,87,lph4
107,80,80,lph4
106,80,80,lph4
108,79,82,lph4
113,83,86,lph4
110,83,85,lph4
111,82,83,lph4
107,86,87,lph4
103,82,82,lph4
105,84,85,lph4
110,89,90,lph4
111,87,89,lph4
102,78,78,lph4
101,77,77,lph4
106,81,83,lph4
116,93,93,lph4
113,89,89,lph4
110,85,86,lph4
104,78,81,lph4
119,97,95,lph4
119,98,98,lph4
126,106,108,lph4
117,95,91,lph4
117,93,90,lph4
118,95,94,lph4
120,97,93,lph4
119,97,92,lph4
118,96,92,lph4
124,100,98,lph4
119,94,93,lph4
123,100,98,lph4
122,97,95,lph4
124,102,101,lph4
120,96,93,lph4
125,103,101,lph4
116,93,90,lph4
116,96,93,lph4
115,94,91,lph4
122,102,99,lph4
117,98,94,lph4
117,99,93,lph4
114,96,89,lph4
121,103,99,lph4
112,94,89,lph4
128,109,105,lph4
124,106,101,lph4
118,98,96,lph4
120,99,98,lph4
120,100,96,lph4
122,102,100,lph4
116,95,92,lph4
111,90,87,lph4
125,105,99,lph4
123,101,97,lph4
115,93,89,lph4
111,89,85,lph4
136,116,108,lph4
133,110,105,lph4
121,97,94,lph4
128,106,98,lph4
133,112,105,lph4
125,105,100,lph4
124,104,100,lph4
130,106,101,lph4
119,96,90,lph4
115,92,88,lph4
120,99,96,lph4
116,94,93,lph4
126,102,101,lph4
134,108,106,lph4
127,100,100,lph4
120,95,94,lph4
119,95,93,lph4
131,103,100,lph4
131,102,101,lph4
123,95,94,lph4
119,93,92,lph4
124,99,99,lph4
127,101,102,lph4
129,100,95,lph4
125,96,93,lph4
120,92,90,lph4
121,95,93,lph4
120,95,92,lph4
125,100,98,lph4
121,94,98,lph4
122,96,100,lph4
118,89,93,lph4
124,96,99,lph4
132,106,107,lph4
124,97,96,lph4
120,93,96,lph4
118,91,93,lph4
117,90,92,lph4
124,97,98,lph4
126,99,99,lph4
128,102,99,lph4
124,99,98,lph4
117,90,90,lph4
119,92,91,lph4
127,100,99,lph4
126,99,98,lph4
128,103,102,lph4
120,94,92,lph4
129,102,101,lph4
132,104,105,lph4
128,101,101,lph4
135,111,109,lph4
129,99,99,lph4
129,100,99,lph4
135,105,105,lph4
137,114,112,lph4
132,107,106,lph4
125,97,96,lph4
125,95,95,lph4
136,113,110,lph4
139,117,115,lph4
135,112,110,lph4
129,100,97,lph4
129,99,96,lph4
131,111,106,lph4
138,117,113,lph4
135,113,109,lph4
124,99,96,lph4
127,100,96,lph4
134,106,103,lph4
131,106,108,lph4
131,103,105,lph4
134,110,113,lph4
137,112,112,lph4
137,111,110,lph4
136,112,111,lph4
132,106,105,lph4
134,105,105,lph4
125,98,102,lph4
119,92,99,lph4
122,97,109,lph4
118,94,95,lph4
120,98,102,lph4
125,103,100,lph4
123,101,102,lph4
120,99,103,lph4
124,102,99,lph4
129,106,106,lph4
127,107,106,lph4
128,108,105,lph4
134,114,112,lph4
145,126,122,lph4
128,108,106,lph4
124,104,104,lph4
149,130,126,lph4
130,110,109,lph4
125,105,107,lph4
135,115,113,lph4
130,108,110,lph4
121,98,100,lph4
135,114,112,lph4
128,107,103,lph4
116,95,91,lph4
136,116,113,lph4
130,110,107,lph4
116,97,94,lph4
133,113,112,lph4
133,113,113,lph4
133,114,111,lph4
131,110,109,lph4
127,105,103,lph4
130,108,109,lph4
134,112,114,lph4
131,110,111,lph4
122,100,102,lph4
135,105,104,lph4
136,107,107,lph4
135,110,109,lph4
125,101,99,lph4
133,108,108,lph4
133,109,108,lph4
136,111,111,lph4
128,105,107,lph4
139,115,117,lph4
134,111,115,lph4
130,104,107,lph4
128,103,107,lph4
137,110,109,lph4
137,111,112,lph4
125,98,101,lph4
138,109,111,lph4
133,105,108,lph4
128,102,105,lph4
120,95,99,lph4
128,106,117,lph4
122,99,111,lph4
128,105,114,lph4
127,104,111,lph4
126,103,110,lph4
121,99,107,lph4
121,100,108,lph4
127,104,113,lph4
141,119,125,lph4
119,98,103,lph4
117,96,101,lph4
124,102,108,lph4
126,103,111,lph4
121,98,106,lph4
129,105,116,lph4
123,98,109,lph4
131,106,115,lph4
126,100,109,lph4
122,95,103,lph4
118,94,104,lph4
121,96,105,lph4
122,96,102,lph4
124,97,101,lph4
125,100,102,lph4
115,90,101,lph4
120,96,105,lph4
128,104,112,lph4
122,96,103,lph4
126,100,106,lph4
130,112,119,lph4
128,110,116,lph4
134,116,120,lph4
141,124,128,lph4
133,113,115,lph4
129,105,104,lph4
128,110,118,lph4
130,110,118,lph4
137,116,123,lph4
134,115,118,lph4
127,107,108,lph4
117,97,96,lph4
125,105,103,lph4
133,116,124,lph4
135,117,123,lph4
134,115,120,lph4
122,103,104,lph4
118,98,97,lph4
112,90,89,lph4
122,99,100,lph4
135,117,124,lph4
135,118,121,lph4
136,118,118,lph4
130,112,113,lph4
126,106,105,lph4
122,101,98,lph4
133,114,121,lph4
136,118,120,lph4
133,115,114,lph4
133,115,115,lph4
131,111,110,lph4
133,112,111,lph4
128,107,105,lph4
129,109,110,lph4
132,110,112,lph4
137,114,116,lph4
138,120,123,lph4
125,105,104,lph4
127,106,107,lph4
133,112,115,lph4
140,122,129,lph4
